"...1","fdc_id","data_type","description","publication_date","id","nutrient_id","amount","data_points","derivation_id","name","unit_name","nutrient_nbr","rank"
4784,167569,"sr_legacy_food","Candies, confectioner's coating, yogurt",2019-04-01,1288414,1279,0,0,39,"MUFA 22:1","G",630,12500
16832,167726,"sr_legacy_food","Babyfood, mixed fruit yogurt, strained",2019-04-01,1300546,2000,11.74,0,39,"Sugars, total including NLEA","G",269,1510
16552,167722,"sr_legacy_food","Tofu yogurt",2019-04-01,1300226,2000,1.24,0,16,"Sugars, total including NLEA","G",269,1510
14145,167690,"sr_legacy_food","Babyfood, apple yogurt dessert, strained",2019-04-01,1297876,2000,12.02,0,51,"Sugars, total including NLEA","G",269,1510
49360,168133,"sr_legacy_food","Babyfood, dessert, peach yogurt",2019-04-01,1333084,1007,0.45,0,39,"Ash","G",207,1000
49511,168135,"sr_legacy_food","Babyfood, dessert, banana yogurt, strained",2019-04-01,1333239,2000,12.2,0,44,"Sugars, total including NLEA","G",269,1510
49441,168134,"sr_legacy_food","Babyfood, dessert, blueberry yogurt, strained",2019-04-01,1333157,2000,13.62,0,39,"Sugars, total including NLEA","G",269,1510
47181,168103,"sr_legacy_food","Frozen yogurts, chocolate, nonfat milk, sweetened without sugar",2019-04-01,1330905,2000,12.61,0,52,"Sugars, total including NLEA","G",269,1510
47321,168105,"sr_legacy_food","Frozen yogurts, flavors other than chocolate",2019-04-01,1331004,2000,19.92,0,16,"Sugars, total including NLEA","G",269,1510
47250,168104,"sr_legacy_food","Frozen yogurts, chocolate",2019-04-01,1330950,2000,19.24,0,16,"Sugars, total including NLEA","G",269,1510
46265,168090,"sr_legacy_food","Babyfood, banana juice with low fat yogurt",2019-04-01,1329997,1007,0.66,0,67,"Ash","G",207,1000
46346,168091,"sr_legacy_food","Babyfood, mixed fruit juice with low fat yogurt",2019-04-01,1330072,2000,10.8,0,67,"Sugars, total including NLEA","G",269,1510
320095,171363,"sr_legacy_food","Babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",2019-04-01,1603793,2000,8.85,0,44,"Sugars, total including NLEA","G",269,1510
319209,171350,"sr_legacy_food","Babyfood, fruit, papaya and applesauce with tapioca, strained",2019-04-01,1602885,1005,18.9,0,49,"Carbohydrate, by difference","G",205,1110
320007,171362,"sr_legacy_food","Babyfood, cereal, oatmeal, with applesauce and bananas, strained",2019-04-01,1603718,2000,8.85,0,44,"Sugars, total including NLEA","G",269,1510
318778,171343,"sr_legacy_food","Babyfood, fruit, applesauce and pineapple, strained",2019-04-01,1602490,1005,10.1,0,49,"Carbohydrate, by difference","G",205,1110
318835,171344,"sr_legacy_food","Babyfood, fruit, applesauce and pineapple, junior",2019-04-01,1602533,1005,10.5,0,49,"Carbohydrate, by difference","G",205,1110
340965,171608,"sr_legacy_food","Potato soup, instant, dry mix",2019-04-01,1624631,1005,76.14,0,51,"Carbohydrate, by difference","G",205,1110
339986,171594,"sr_legacy_food","Soup, vegetable soup, condensed, low sodium, prepared with equal volume water",2019-04-01,1623651,1264,0.001,0,65,"SFA 14:0","G",612,10500
404172,172352,"sr_legacy_food","Margarine-like spread with yogurt, 70% fat, stick, with salt",2019-04-01,1687858,1270,1.4,0,20,"PUFA 18:3","G",619,13900
398672,172278,"sr_legacy_food","Babyfood, fruit, applesauce, junior",2019-04-01,1682389,1005,10.3,0,49,"Carbohydrate, by difference","G",205,1110
268109,170775,"sr_legacy_food","Fast foods, strawberry banana smoothie made with ice and low-fat yogurt",2019-04-01,1551787,1270,0.019,0,40,"PUFA 18:3","G",619,13900
285740,170970,"sr_legacy_food","Babyfood, cereal, rice, with applesauce and bananas, strained",2019-04-01,1569406,2000,2.24,0,39,"Sugars, total including NLEA","G",269,1510
286954,170987,"sr_legacy_food","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",2019-04-01,1570611,1273,0,0,40,"SFA 22:0","G",624,11200
287232,170990,"sr_legacy_food","Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",2019-04-01,1570893,1273,0.001,0,40,"SFA 22:0","G",624,11200
285390,170966,"sr_legacy_food","Babyfood, cereal, mixed, with applesauce and bananas, strained",2019-04-01,1569097,1003,0.71,0,44,"Protein","G",203,600
285491,170967,"sr_legacy_food","Babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",2019-04-01,1569191,2000,11.1,0,44,"Sugars, total including NLEA","G",269,1510
284119,170948,"sr_legacy_food","Babyfood, fruit, applesauce and apricots, junior",2019-04-01,1567840,1005,12.4,0,49,"Carbohydrate, by difference","G",205,1110
284095,170947,"sr_legacy_food","Babyfood, fruit, applesauce and apricots, strained",2019-04-01,1567713,1014,0.01,0,39,"Maltose","G",214,2000
284382,170951,"sr_legacy_food","Babyfood, fruit, applesauce with banana, junior",2019-04-01,1568012,1279,0,0,41,"MUFA 22:1","G",630,12500
284268,170950,"sr_legacy_food","Babyfood, fruit, applesauce and cherries, junior",2019-04-01,1567985,2000,10.61,0,16,"Sugars, total including NLEA","G",269,1510
284198,170949,"sr_legacy_food","Babyfood, fruit, applesauce and cherries, strained",2019-04-01,1567906,2000,10.81,0,39,"Sugars, total including NLEA","G",269,1510
